Subject,Topic,Difficulty,Question,Option1,Option2,Option3,Option4,CorrectAnswer,Explanation
Data Structures,Graphs,Easy,What is a complete graph?,A graph where every pair of distinct vertices is connected by a unique edge,A graph with no vertices,A graph where every vertex has degree zero,A graph with only one edge,A graph where every pair of distinct vertices is connected by a unique edge,"In a complete graph, every possible pair of vertices has a direct edge connecting them."
Data Structures,Graphs,Easy,What is a sparse graph?,A graph with relatively few edges compared to the maximum possible number,A graph with the maximum possible number of edges,A graph with no vertices,A graph that cannot be represented using an adjacency list,A graph with relatively few edges compared to the maximum possible number,"Sparse graphs have significantly fewer edges than a complete graph of the same number of vertices, often making adjacency lists more space-efficient."
Data Structures,Graphs,Easy,What is a dense graph?,A graph with a number of edges close to the maximum possible,A graph with no edges,A graph with only isolated vertices,A graph that must be directed,A graph with a number of edges close to the maximum possible,"Dense graphs have a large proportion of possible edges present, often making adjacency matrices a reasonable representation choice."
Data Structures,Graphs,Easy,What is the time complexity of checking if an edge exists between two vertices using an adjacency matrix?,O(1),O(V) where V is the number of vertices,O(E) where E is the number of edges,O(V+E),O(1),"Since the adjacency matrix directly indexes by vertex pair, checking for an edge is a constant-time lookup."
Data Structures,Graphs,Easy,"What is a tree, in relation to graphs?",A connected acyclic graph,A graph with cycles only,A disconnected graph,A graph with self-loops only,A connected acyclic graph,A tree is a special case of a graph that is both fully connected and contains no cycles.
Data Structures,Graphs,Easy,What is a forest in graph theory?,A collection of disjoint trees,A single large cycle,A graph with only one vertex,A complete graph,A collection of disjoint trees,A forest consists of multiple separate tree components that are not connected to each other.
Data Structures,Graphs,Easy,Which of the following is an application of graphs in computer networks?,Representing computers as vertices and connections between them as edges,Sorting IP addresses,Managing memory allocation,Compressing files,Representing computers as vertices and connections between them as edges,"Network topologies are naturally modeled as graphs, with devices as vertices and physical or logical links as edges."
Data Structures,Graphs,Easy,What is a bipartite graph?,A graph whose vertices can be divided into two disjoint sets such that every edge connects vertices from different sets,A graph with exactly two vertices,A graph with two disconnected components only,A graph where every vertex has degree two,A graph whose vertices can be divided into two disjoint sets such that every edge connects vertices from different sets,"Bipartite graphs partition vertices into two groups where edges only go between groups, never within the same group."
Data Structures,Graphs,Easy,What is the primary difference between a graph and a tree?,"A tree cannot have cycles or multiple paths between nodes, while a general graph can",A graph must always be directed,A tree can have cycles while a graph cannot,There is no meaningful difference between them,"A tree cannot have cycles or multiple paths between nodes, while a general graph can","Trees are a restricted, acyclic, connected form of a graph, whereas general graphs can have cycles and multiple connections between vertices."
Data Structures,Graphs,Easy,Which of the following is a real-world application commonly modeled using graphs?,Social networks representing people as vertices and friendships as edges,Sorting a list of numbers,Storing key-value pairs for fast lookup,Managing a fixed-size buffer,Social networks representing people as vertices and friendships as edges,"Social networks naturally map to graphs, with individuals as vertices and their relationships as connecting edges."
Data Structures,Graphs,Medium,What is the time complexity of Breadth-First Search on a graph with V vertices and E edges using an adjacency list?,O(V),O(V + E),O(V * E),O(E log V),O(V + E),"BFS visits every vertex once and examines every edge once when using an adjacency list, giving linear time relative to the graph's size."
Data Structures,Graphs,Medium,What is the time complexity of Depth-First Search on a graph with V vertices and E edges using an adjacency list?,O(V),O(V + E),O(V * E),O(E log V),O(V + E),"Like BFS, DFS visits each vertex and edge a constant number of times when using an adjacency list representation."
Data Structures,Graphs,Medium,What is the space complexity of storing a graph with V vertices using an adjacency matrix?,O(V),O(V^2),O(E),O(V + E),O(V^2),"An adjacency matrix allocates a cell for every possible pair of vertices, requiring space proportional to the square of the number of vertices."
Data Structures,Graphs,Medium,What is the space complexity of storing a graph with V vertices and E edges using an adjacency list?,O(V^2),O(V + E),O(E^2),O(V * E),O(V + E),"An adjacency list only stores actual connections, so its space usage scales with the number of vertices plus the number of edges."
Data Structures,Graphs,Medium,Which algorithm is used to detect a cycle in an undirected graph using DFS?,Checking if a visited neighbor is not the immediate parent during DFS traversal,Using only BFS with a queue,Checking if all vertices have even degree,Sorting the vertices first,Checking if a visited neighbor is not the immediate parent during DFS traversal,"In an undirected graph, encountering an already visited vertex that is not the direct parent indicates a cycle."
Data Structures,Graphs,Medium,Which algorithm is used to detect a cycle in a directed graph efficiently?,Using DFS with tracking of the current recursion stack to detect back edges,Using BFS with a simple visited array only,Checking if the graph is bipartite,Sorting the vertices by degree,Using DFS with tracking of the current recursion stack to detect back edges,"A back edge to a vertex currently in the recursion stack indicates a cycle in a directed graph, which requires tracking the active DFS path separately from visited vertices overall."
Data Structures,Graphs,Medium,"What is topological sorting, and under what condition is it possible?","An ordering of vertices such that for every directed edge u to v, u comes before v; possible only in a Directed Acyclic Graph (DAG)",A sorting of vertices by their numerical values; possible for any graph,An ordering that minimizes total edge weight; possible only in weighted graphs,A sorting that groups vertices by connected component; possible only in undirected graphs,"An ordering of vertices such that for every directed edge u to v, u comes before v; possible only in a Directed Acyclic Graph (DAG)","Topological order respects dependency direction, and it can only be consistently defined when there are no cycles to create contradictory orderings."
Data Structures,Graphs,Medium,"What is the time complexity of Kahn's algorithm for topological sorting using in-degree tracking and a queue, for a graph with V vertices and E edges?",O(V^2),O(V + E),O(V * E),O(E log V),O(V + E),"Each vertex and edge is processed a constant number of times as in-degrees are decremented and zero in-degree vertices are enqueued, giving linear time."
Data Structures,Graphs,Medium,"What is the time complexity of Dijkstra's algorithm using a binary heap based priority queue, for a graph with V vertices and E edges?",O(V^2),O((V + E) log V),O(V * E),O(E log E) only,O((V + E) log V),"Each vertex extraction and edge relaxation involves a logarithmic-time heap operation, giving an overall complexity of O((V+E) log V)."
Data Structures,Graphs,Medium,Why does Dijkstra's algorithm fail to produce correct results on graphs with negative edge weights?,"It assumes once a vertex's shortest distance is finalized, it cannot be improved further, which negative weights can violate",It cannot handle weighted graphs at all,It only works on undirected graphs,It requires the graph to be a tree,"It assumes once a vertex's shortest distance is finalized, it cannot be improved further, which negative weights can violate","Dijkstra's greedy approach permanently fixes a vertex's shortest distance once processed, but negative weights can later provide a shorter path, violating this assumption."
Data Structures,Graphs,Medium,"Which algorithm correctly computes shortest paths in a graph that may contain negative edge weights, as long as there are no negative cycles?",Dijkstra's Algorithm,Bellman-Ford Algorithm,Prim's Algorithm,Kruskal's Algorithm,Bellman-Ford Algorithm,"Bellman-Ford repeatedly relaxes all edges and can correctly handle negative weights, unlike Dijkstra's greedy approach."
Data Structures,Graphs,Medium,What is the time complexity of the Bellman-Ford algorithm for a graph with V vertices and E edges?,O(V + E),O(V * E),O(V^2),O(E log V),O(V * E),"Bellman-Ford relaxes all E edges in each of V-1 iterations to guarantee correct shortest paths, resulting in a time complexity proportional to V times E."
Data Structures,Graphs,Medium,Which algorithm is used to compute the shortest paths between all pairs of vertices in a graph?,Dijkstra's Algorithm run once,Floyd-Warshall Algorithm,Kruskal's Algorithm,Depth-First Search,Floyd-Warshall Algorithm,Floyd-Warshall systematically considers every vertex as an intermediate point to compute shortest paths between all pairs simultaneously.
Data Structures,Graphs,Medium,What is the time complexity of the Floyd-Warshall algorithm for a graph with V vertices?,O(V^2),O(V^3),O(V log V),O(V + E),O(V^3),"Floyd-Warshall uses three nested loops over all vertices to consider every possible intermediate vertex for every pair, giving cubic time complexity."
Data Structures,Graphs,Medium,"What is a Minimum Spanning Tree (MST) of a connected, weighted, undirected graph?",A subset of edges connecting all vertices with the minimum possible total edge weight and no cycles,A tree containing only the heaviest edges,A subgraph containing all edges of the original graph,A path visiting every vertex exactly once,A subset of edges connecting all vertices with the minimum possible total edge weight and no cycles,An MST connects all vertices using the fewest and lightest edges possible while remaining acyclic.
Data Structures,Graphs,Medium,"What is the time complexity of Kruskal's algorithm for finding a Minimum Spanning Tree, given a graph with V vertices and E edges, using an efficient Union-Find structure?",O(V^2),O(E log E),O(V * E),O(E log V) only without Union-Find optimization,O(E log E),"Kruskal's algorithm primarily requires sorting all edges by weight, which dominates the time complexity at O(E log E), with near-constant-time union-find operations."
Data Structures,Graphs,Medium,"What is the time complexity of Prim's algorithm for finding a Minimum Spanning Tree using a binary heap based priority queue, for a graph with V vertices and E edges?",O(V^2),O((V + E) log V),O(V * E),O(E log E) only,O((V + E) log V),"Similar to Dijkstra's algorithm, Prim's algorithm with a binary heap processes each vertex and edge with logarithmic overhead, giving O((V+E) log V)."
Data Structures,Graphs,Medium,Which data structure is commonly used in Kruskal's algorithm to efficiently detect cycles when adding edges to the MST?,Union-Find (Disjoint Set Union),Priority Queue,Stack,Adjacency Matrix,Union-Find (Disjoint Set Union),"Union-Find efficiently tracks which vertices belong to the same connected component, allowing quick cycle detection when considering a new edge."
Data Structures,Graphs,Medium,What does it mean for a directed graph to be strongly connected?,There is a directed path from every vertex to every other vertex,There is at least one edge between any two vertices,The graph has no cycles,Every vertex has the same out-degree,There is a directed path from every vertex to every other vertex,Strong connectivity in a directed graph requires that any vertex can reach any other vertex by following directed edges.
Data Structures,Graphs,Medium,What is a strongly connected component (SCC) in a directed graph?,A maximal subset of vertices such that every vertex can reach every other vertex within that subset,Any connected subgraph,A single vertex with no outgoing edges,The set of all vertices in the graph,A maximal subset of vertices such that every vertex can reach every other vertex within that subset,"An SCC groups together vertices that are mutually reachable from each other, forming the largest such connected group."
Data Structures,Graphs,Medium,Which algorithm can be used to check whether a graph is bipartite?,Using BFS or DFS to attempt a two-coloring of the graph,Using Dijkstra's algorithm only,Sorting the vertices by degree,Using Kruskal's algorithm,Using BFS or DFS to attempt a two-coloring of the graph,"Attempting to color the graph with two colors such that no adjacent vertices share a color, using BFS or DFS, correctly determines bipartiteness."
Data Structures,Graphs,Medium,What is the time complexity of checking whether a graph with V vertices and E edges is bipartite using BFS-based two-coloring?,O(V^2),O(V + E),O(V * E),O(E log V),O(V + E),"The two-coloring check visits each vertex and edge a constant number of times, giving the same linear complexity as standard BFS."
Data Structures,Graphs,Medium,What edge case must be handled when performing DFS or BFS on a graph that may be disconnected?,Starting traversal again from any unvisited vertex to ensure all components are covered,Assuming a single traversal from one vertex covers the whole graph,Only disconnected graphs with two components need special handling,Disconnected graphs cannot be traversed using BFS or DFS,Starting traversal again from any unvisited vertex to ensure all components are covered,"Since a single BFS or DFS call only reaches vertices in the same connected component, additional calls from unvisited vertices are needed to cover a disconnected graph fully."
Data Structures,Graphs,Medium,"What is the time complexity of detecting whether an undirected graph contains a cycle using Union-Find, for a graph with V vertices and E edges?",O(V^2),"O(E * alpha(V)), nearly linear",O(V * E),O(E log E),"O(E * alpha(V)), nearly linear","Using Union-Find with path compression and union by rank, each operation runs in near-constant amortized time, making cycle detection nearly linear in the number of edges."
Data Structures,Graphs,Medium,Which of the following best explains why an adjacency list is generally preferred over an adjacency matrix for sparse graphs?,"An adjacency list uses space proportional to the actual number of edges, avoiding the wasted space of a mostly empty matrix",An adjacency matrix always allows faster traversal regardless of density,An adjacency list cannot represent directed graphs,An adjacency matrix uses less memory for all graph types,"An adjacency list uses space proportional to the actual number of edges, avoiding the wasted space of a mostly empty matrix","For sparse graphs with relatively few edges, an adjacency matrix wastes significant space on entries representing non-existent edges, unlike an adjacency list."
Data Structures,Graphs,Medium,What is the primary reason multiple sources are sometimes enqueued simultaneously at the start of a multi-source BFS?,To efficiently compute the shortest distance from the nearest of several starting points to all other vertices in a single traversal,To make the traversal slower but more thorough,Multi-source BFS is not a valid technique,To avoid needing a visited array,To efficiently compute the shortest distance from the nearest of several starting points to all other vertices in a single traversal,"Starting BFS from all sources at once correctly computes, in one pass, the shortest distance to the closest source for every vertex."
Data Structures,Graphs,Medium,What is the time complexity of computing the number of connected components in an undirected graph with V vertices and E edges using DFS or BFS?,O(V^2),O(V + E),O(V * E),O(E log V),O(V + E),"By running DFS or BFS from each unvisited vertex, every vertex and edge is processed once in total across all components, giving linear time."
Data Structures,Graphs,Medium,Which of the following correctly describes an articulation point (cut vertex) in a graph?,A vertex whose removal increases the number of connected components,A vertex with the highest degree,A vertex that has no edges,A vertex that is part of every cycle in the graph,A vertex whose removal increases the number of connected components,"Articulation points are critical vertices whose removal disconnects part of the graph, splitting it into more components."
Data Structures,Graphs,Medium,What is a bridge (cut edge) in a graph?,An edge whose removal increases the number of connected components,An edge with the maximum weight in the graph,Any edge that is part of a cycle,An edge connecting two vertices of the same degree,An edge whose removal increases the number of connected components,A bridge is a critical connection whose removal would split the graph into additional disconnected pieces.
Data Structures,Graphs,Medium,"What is the time complexity of computing the diameter of an unweighted graph (the longest shortest path between any two vertices), using BFS from every vertex, for a graph with V vertices and E edges?",O(V + E),O(V * (V + E)),O(V^3),O(E log V),O(V * (V + E)),"Since a full BFS costing O(V+E) is needed from each of the V vertices to find the eccentricity of every vertex, the total time is O(V*(V+E))."
Data Structures,Graphs,Hard,What is the time complexity of Tarjan's algorithm for finding all strongly connected components in a directed graph with V vertices and E edges?,O(V^2),O(V + E),O(V * E),O(E log V),O(V + E),"Tarjan's algorithm performs a single DFS pass while maintaining low-link values, visiting each vertex and edge a constant number of times, giving linear time."
Data Structures,Graphs,Hard,How does Tarjan's algorithm identify strongly connected components using a single DFS traversal?,"By tracking discovery times and low-link values to identify when a subtree forms a complete SCC, using an auxiliary stack",By running DFS separately from every vertex and comparing reachability sets,By sorting vertices by their in-degree,By using only BFS without any auxiliary data structures,"By tracking discovery times and low-link values to identify when a subtree forms a complete SCC, using an auxiliary stack","Low-link values reveal the earliest reachable ancestor from a subtree, and when a vertex's low-link equals its own discovery time, its stack contents form a complete SCC."
Data Structures,Graphs,Hard,"What is the time complexity of Kosaraju's algorithm for finding strongly connected components, which uses two passes of DFS and a graph transpose?",O(V^2),O(V + E),O(V * E),O(E log V),O(V + E),"Kosaraju's algorithm performs a constant number of DFS traversals, each taking O(V+E), including one on the transposed graph, keeping the overall complexity linear."
Data Structures,Graphs,Hard,What is the primary reason the Bellman-Ford algorithm runs for exactly V-1 iterations when relaxing edges in a graph with V vertices?,"The longest possible shortest path without cycles can have at most V-1 edges, so V-1 rounds guarantee convergence",It is an arbitrary choice unrelated to correctness,Running fewer iterations always produces the same correct result,V-1 iterations guarantee finding a negative cycle if one exists without further checks,"The longest possible shortest path without cycles can have at most V-1 edges, so V-1 rounds guarantee convergence","Since a simple shortest path can visit at most V vertices, it contains at most V-1 edges, so V-1 relaxation rounds are sufficient to propagate the correct shortest distances."
Data Structures,Graphs,Hard,How can the Bellman-Ford algorithm be used to detect the presence of a negative weight cycle in a graph?,"By performing one additional relaxation pass after the standard V-1 iterations; if any distance still improves, a negative cycle exists",By checking if any edge has a negative weight directly,By running Dijkstra's algorithm afterward for verification,Negative cycles cannot be detected using Bellman-Ford,"By performing one additional relaxation pass after the standard V-1 iterations; if any distance still improves, a negative cycle exists","If distances can still be relaxed after the guaranteed V-1 iterations needed for convergence in an acyclic-shortest-path scenario, this proves a negative cycle is affecting the results."
Data Structures,Graphs,Hard,"What is the time complexity of the Floyd-Warshall algorithm's space usage when implemented with an in-place distance matrix, for a graph with V vertices?",O(V),O(V^2),O(V^3),O(V log V),O(V^2),"Floyd-Warshall maintains a single V by V distance matrix that is updated in place, so its space usage is quadratic in the number of vertices."
Data Structures,Graphs,Hard,Which algorithm is best suited for finding the shortest path between all pairs of vertices in a sparse graph with V vertices and E edges where E is much smaller than V^2?,"Floyd-Warshall run once, costing O(V^3)","Running Dijkstra's algorithm from every vertex using a binary heap, costing O(V(V+E) log V)",Bellman-Ford run once from a single source,Kruskal's algorithm applied repeatedly,"Running Dijkstra's algorithm from every vertex using a binary heap, costing O(V(V+E) log V)","For sparse graphs, repeatedly running an efficient single-source shortest path algorithm like Dijkstra's from every vertex can outperform the cubic time complexity of Floyd-Warshall."
Data Structures,Graphs,Hard,"What is the Ford-Fulkerson method used for, and what is its time complexity in terms of the maximum flow value f and number of edges E?","Finding the maximum flow in a flow network, with time complexity O(E * f) using augmenting paths found via BFS or DFS","Finding the shortest path in an unweighted graph, with time complexity O(V+E)","Sorting the edges of a graph by weight, with time complexity O(E log E)","Detecting cycles in a directed graph, with time complexity O(V+E)","Finding the maximum flow in a flow network, with time complexity O(E * f) using augmenting paths found via BFS or DFS","Ford-Fulkerson repeatedly finds augmenting paths and pushes flow along them, and in the worst case with integer capacities, the number of iterations is proportional to the maximum flow value."
Data Structures,Graphs,Hard,"How does the Edmonds-Karp algorithm improve upon the general Ford-Fulkerson method, and what is its resulting time complexity for a graph with V vertices and E edges?","By always choosing the shortest augmenting path via BFS, achieving a time complexity of O(V * E^2)","By using DFS instead of BFS, achieving O(E * f)",By avoiding augmenting paths entirely,It has the same time complexity as general Ford-Fulkerson in all cases,"By always choosing the shortest augmenting path via BFS, achieving a time complexity of O(V * E^2)","Using BFS to always select the shortest augmenting path bounds the number of iterations polynomially, giving Edmonds-Karp a time complexity independent of the flow value."
Data Structures,Graphs,Hard,What is the time complexity of solving the bipartite matching problem using the Hopcroft-Karp algorithm for a graph with V vertices and E edges?,O(V * E),O(E * sqrt(V)),O(V^3),O(E log V),O(E * sqrt(V)),"Hopcroft-Karp improves upon simpler augmenting path approaches by finding multiple shortest augmenting paths per phase, achieving a complexity of O(E * sqrt(V))."
Data Structures,Graphs,Hard,How does the A* search algorithm improve upon Dijkstra's algorithm for finding the shortest path to a specific target vertex?,"By using a heuristic function to prioritize exploring vertices likely closer to the target, reducing unnecessary exploration",By ignoring edge weights entirely,By requiring the graph to be undirected,By always exploring vertices in the exact same order as Dijkstra's algorithm,"By using a heuristic function to prioritize exploring vertices likely closer to the target, reducing unnecessary exploration","A* combines the actual distance traveled with an estimated remaining distance via a heuristic, focusing the search toward the target more efficiently than Dijkstra's uninformed approach."
Data Structures,Graphs,Hard,What condition must a heuristic function satisfy for A* search to guarantee finding the optimal shortest path?,"The heuristic must be admissible, never overestimating the true remaining cost to the target",The heuristic must always be exactly equal to the true remaining cost,The heuristic must be a random value at each step,The heuristic must overestimate the remaining cost to speed up convergence,"The heuristic must be admissible, never overestimating the true remaining cost to the target","An admissible heuristic ensures A* does not prematurely commit to a suboptimal path, since it never overestimates how far a vertex actually is from the goal."
Data Structures,Graphs,Hard,What is the time complexity of computing the transitive closure of a directed graph with V vertices using an approach based on the Floyd-Warshall algorithm?,O(V),O(V^2),O(V^3),O(V log V),O(V^3),"Determining reachability between every pair of vertices using all possible intermediate vertices follows the same three-nested-loop structure as Floyd-Warshall, giving cubic time."
Data Structures,Graphs,Hard,"Which of the following best explains why Dijkstra's algorithm, when modified using a Fibonacci heap instead of a binary heap, achieves a better asymptotic time complexity for dense graphs?","A Fibonacci heap supports the decrease-key operation in amortized O(1) time, reducing the overall complexity to O(E + V log V)",A Fibonacci heap eliminates the need for edge relaxation entirely,A Fibonacci heap only improves performance for sparse graphs,There is no difference in time complexity between the two heap types,"A Fibonacci heap supports the decrease-key operation in amortized O(1) time, reducing the overall complexity to O(E + V log V)","Since Dijkstra's algorithm performs many decrease-key operations, a Fibonacci heap's faster amortized cost for that operation improves the overall complexity compared to a binary heap."
Data Structures,Graphs,Hard,What is the time complexity of finding all articulation points in an undirected graph with V vertices and E edges using a single DFS traversal with low-link values?,O(V^2),O(V + E),O(V * E),O(E log V),O(V + E),"Similar to Tarjan's SCC algorithm, tracking discovery times and low-link values during a single DFS pass identifies all articulation points in linear time."
Data Structures,Graphs,Hard,"How can the problem of finding all bridges in an undirected graph be solved efficiently using DFS, and what is its time complexity for a graph with V vertices and E edges?","By checking if a child's low-link value is strictly greater than the discovery time of its parent, achieving O(V + E) time","By removing each edge one at a time and checking connectivity, achieving O(E * (V+E)) time","By using Floyd-Warshall to check all pairs of vertices, achieving O(V^3) time",Bridges cannot be found in less than O(V^2) time,"By checking if a child's low-link value is strictly greater than the discovery time of its parent, achieving O(V + E) time","If a child subtree in the DFS tree cannot reach back to or above the current vertex, the edge connecting them is a bridge, identifiable during a single linear-time DFS traversal."
Data Structures,Graphs,Hard,What is the time complexity of the Chinese Postman Problem (Route Inspection Problem) for a graph with V vertices and E edges when the graph already has an Eulerian circuit?,O(V^3),O(V + E),O(V * E),O(2^V),O(V + E),"If an Eulerian circuit already exists, it can be found using Hierholzer's algorithm in time proportional to the number of edges, without needing more complex matching techniques."
Data Structures,Graphs,Hard,"What is the primary challenge in solving the Chinese Postman Problem when the graph does not already have an Eulerian circuit, and what technique is used?","Certain vertices have odd degree, requiring a minimum weight perfect matching to duplicate edges and make all degrees even",There is no known technique to solve this variation,It requires converting the graph into a tree first,It can only be approximated using random duplication of edges,"Certain vertices have odd degree, requiring a minimum weight perfect matching to duplicate edges and make all degrees even","Since an Eulerian circuit requires all vertices to have even degree, odd-degree vertices must be paired and their connecting paths duplicated using minimum weight matching to enable a full circuit."
Data Structures,Graphs,Hard,What is the time complexity of finding a Hamiltonian path in a general graph using a brute-force approach that checks all possible vertex orderings?,O(V),O(V^2),O(V!),O(2^V),O(V!),Checking every possible permutation of vertices to see if it forms a valid path leads to factorial time complexity in the worst case.
Data Structures,Graphs,Hard,"How does dynamic programming with bitmasking improve the time complexity of solving the Traveling Salesman Problem compared to a brute-force approach, for a graph with V vertices?",It reduces the complexity from O(V!) to O(V^2 * 2^V) by avoiding redundant recomputation of subproblems,It reduces the complexity to O(V log V),It has no effect on the time complexity,"It only works for graphs with fewer than 10 vertices in principle, not in general complexity terms",It reduces the complexity from O(V!) to O(V^2 * 2^V) by avoiding redundant recomputation of subproblems,"By representing visited subsets of vertices as bitmasks and caching results for each subset and endpoint combination, the algorithm avoids recomputing overlapping subproblems, improving from factorial to exponential-polynomial time."
Data Structures,Graphs,Hard,"What is the time complexity of finding the shortest path in a graph where edge weights can only be 0 or 1, using a 0-1 BFS with a deque, for a graph with V vertices and E edges?",O(V + E),O((V + E) log V),O(V * E),O(V^2),O(V + E),"By pushing zero-weight edges to the front and one-weight edges to the back of a deque, 0-1 BFS avoids the overhead of a priority queue, achieving linear time."
Data Structures,Graphs,Hard,"Which of the following best explains the concept of a minimum bottleneck spanning tree, and how does it relate to a standard Minimum Spanning Tree?","It minimizes the maximum edge weight in the spanning tree, and every MST is guaranteed to also be a minimum bottleneck spanning tree","It minimizes the total sum of edge weights, identical to a standard MST in all respects",It requires a completely different algorithm unrelated to MST algorithms,It only applies to directed graphs,"It minimizes the maximum edge weight in the spanning tree, and every MST is guaranteed to also be a minimum bottleneck spanning tree","A minimum bottleneck spanning tree minimizes the single largest edge weight used, and it can be shown that any standard MST also satisfies this bottleneck-minimizing property."
Data Structures,Graphs,Hard,What is the time complexity of computing the minimum spanning tree using Boruvka's algorithm for a graph with V vertices and E edges?,O(V^2),O(E log V),O(V * E),"O(E log E) only, identical to Kruskal's",O(E log V),"Boruvka's algorithm repeatedly connects components using their cheapest outgoing edge across O(log V) rounds, each costing O(E), giving an overall complexity of O(E log V)."
