Subject,Topic,Difficulty,Question,Option1,Option2,Option3,Option4,CorrectAnswer,Explanation
Operating System,Process Management,Easy,What is the dispatcher?,The operating system component that gives control of the CPU to the process selected by the scheduler,A component that creates processes,A component that manages files,A component that handles memory allocation,The operating system component that gives control of the CPU to the process selected by the scheduler,"The dispatcher performs the context switch and transfers CPU control to the selected process."
Operating System,Process Management,Easy,What is process synchronization?,Coordinating processes so they can safely share resources and execute correctly,Creating multiple processes,Deleting processes,Allocating CPU time randomly,Coordinating processes so they can safely share resources and execute correctly,"Process synchronization prevents problems that can occur when multiple processes access shared resources concurrently."
Operating System,Process Management,Easy,What is a race condition?,A situation where the outcome depends on the timing of concurrent processes or threads,A situation where a process runs too quickly,A CPU scheduling algorithm,A memory allocation method,A situation where the outcome depends on the timing of concurrent processes or threads,"A race condition occurs when multiple processes or threads access shared data and the final result depends on their execution order."
Operating System,Process Management,Easy,What is a critical section?,A section of code that accesses shared resources,A section of code that creates a process,A section of memory containing the operating system,A section of disk space,A section of code that accesses shared resources,"A critical section is code that accesses shared data and must be protected from simultaneous execution by multiple processes."
Operating System,Process Management,Easy,What is a zombie process?,A terminated process whose entry still exists in the process table,A process that is currently running,A process that is waiting for I/O,A process that has never started,A terminated process whose entry still exists in the process table,"A zombie process has completed execution but remains in the process table until its parent collects its exit status."
Operating System,Process Management,Easy,What is an orphan process?,A process whose parent has terminated before the child,A process that has terminated,A process waiting for CPU,A process that has no memory,A process whose parent has terminated before the child,"When a parent process terminates before its child, the child becomes an orphan and is typically adopted by a system process."
Operating System,Process Management,Easy,What is a daemon process?,A background process that runs without direct user interaction,A process that always runs in the foreground,A process that has terminated,A process waiting for input,A background process that runs without direct user interaction,"Daemon processes commonly perform system services in the background."
Operating System,Process Management,Easy,What is process migration?,Moving a process from one processor or computer system to another,Deleting a process,Creating a child process,Changing the process name,Moving a process from one processor or computer system to another,"Process migration involves transferring process execution from one processor or system to another, commonly in distributed or multiprocessor environments."
Operating System,Process Management,Easy,What is inter-process communication (IPC)?,Mechanisms that allow processes to communicate and exchange data,A CPU scheduling algorithm,A memory allocation technique,A method for deleting processes,Mechanisms that allow processes to communicate and exchange data,"IPC mechanisms such as pipes, message queues, shared memory, and sockets allow processes to exchange information."
Operating System,Process Management,Easy,Which of the following is an example of an IPC mechanism?,Pipe,CPU register,Program counter,Stack pointer,Pipe,"A pipe is a common IPC mechanism that allows processes to exchange data."
Operating System,Process Management,Medium,What happens when a process calls fork() in Unix/Linux?,A new child process is created that initially has a copy of the parent's process state,The parent process is immediately terminated,The current process is replaced by another program,The process enters the waiting state,A new child process is created that initially has a copy of the parent's process state,"fork() creates a new child process. The child initially has a copy of the parent's address space and execution state, although modern systems commonly use copy-on-write."
Operating System,Process Management,Medium,What is the difference between a process and a program?,A program is a passive set of instructions while a process is an active instance of a program,A program is always executing while a process is stored on disk,A process is only source code while a program is hardware,There is no difference,A program is a passive set of instructions while a process is an active instance of a program,"A program is a static executable or set of instructions, while a process is the program currently being executed."
Operating System,Process Management,Medium,Why is context switching considered an overhead?,Because the CPU spends time saving and restoring process states instead of executing useful application instructions,Because it permanently deletes process data,Because it requires creating a new operating system,Because it increases disk capacity,Because the CPU spends time saving and restoring process states instead of executing useful application instructions,"During a context switch, the CPU performs management work such as saving registers and restoring another process's state, which does not directly advance application computation."
Operating System,Process Management,Medium,What is the role of the scheduler in process management?,It selects which ready process should receive CPU time,It creates all processes,It manages only files,It permanently terminates processes,It selects which ready process should receive CPU time,"The CPU scheduler chooses a process from the ready queue according to the scheduling algorithm."
Operating System,Process Management,Medium,What is preemptive process scheduling?,A scheduling approach where the operating system can interrupt a running process and allocate the CPU to another process,A scheduling approach where processes can never be interrupted,A method for creating processes,A memory allocation technique,A scheduling approach where the operating system can interrupt a running process and allocate the CPU to another process,"Preemptive scheduling allows the operating system to take the CPU away from a running process, often using timer interrupts."
Operating System,Process Management,Medium,What is non-preemptive process scheduling?,A scheduling approach where a running process keeps the CPU until it terminates or voluntarily blocks,A scheduling approach where the OS interrupts every process,A method of process creation,A memory protection technique,A scheduling approach where a running process keeps the CPU until it terminates or voluntarily blocks,"In non-preemptive scheduling, the operating system does not forcibly remove the CPU from a running process."
Operating System,Process Management,Medium,What is the purpose of a context switch between two processes?,To preserve the execution state of the current process and restore the execution state of another process,To permanently delete both processes,To increase the process priority,To create a new process,To preserve the execution state of the current process and restore the execution state of another process,"A context switch saves the current process state and restores another process's state so execution can continue correctly."
Operating System,Process Management,Medium,What is the difference between a ready process and a blocked process?,A ready process is waiting for CPU allocation while a blocked process is waiting for an event or resource,A ready process is terminated while a blocked process is running,Both states mean exactly the same thing,A blocked process always has the CPU,A ready process is waiting for CPU allocation while a blocked process is waiting for an event or resource,"Ready processes can execute as soon as the CPU becomes available, while blocked processes must wait for an event such as I/O completion."
Operating System,Process Management,Medium,What is the purpose of the long-term scheduler?,To control the degree of multiprogramming by deciding which jobs are admitted into the system,To select the next process for immediate CPU execution,To perform every context switch,To terminate all background processes,To control the degree of multiprogramming by deciding which jobs are admitted into the system,"The long-term scheduler selects processes from the job pool and loads them into memory, controlling the number of active processes."
Operating System,Process Management,Medium,What is the purpose of the short-term scheduler?,To select a process from the ready queue for CPU execution,To decide which jobs enter the system from secondary storage,To allocate disk blocks,To create user accounts,To select a process from the ready queue for CPU execution,"The short-term scheduler makes frequent decisions about which ready process should execute next."
Operating System,Process Management,Medium,What is the purpose of the medium-term scheduler?,To temporarily remove processes from memory and later reintroduce them,To select every CPU instruction,To create hardware devices,To permanently terminate all processes,To temporarily remove processes from memory and later reintroduce them,"The medium-term scheduler supports swapping by temporarily removing processes from memory and bringing them back later."
Operating System,Process Management,Medium,What is process suspension?,Temporarily stopping a process so that it does not remain in the ready or running state,Immediately terminating a process,Creating a duplicate process,Increasing process priority,Temporarily stopping a process so that it does not remain in the ready or running state,"A suspended process is temporarily removed from active execution and may later be resumed."
Operating System,Process Management,Medium,What is a process tree?,A hierarchical representation showing parent-child relationships among processes,A list of files stored on disk,A CPU scheduling queue,A memory allocation table,A hierarchical representation showing parent-child relationships among processes,"A process tree represents the relationships created when processes spawn child processes."
Operating System,Process Management,Medium,What is copy-on-write in process creation?,A technique where parent and child initially share memory pages until one of them modifies a page,A technique that immediately duplicates all memory,A method of deleting unused memory,A method of increasing CPU speed,A technique where parent and child initially share memory pages until one of them modifies a page,"Copy-on-write avoids unnecessary memory duplication by allowing parent and child to share pages until a write operation requires a private copy."
Operating System,Process Management,Medium,What is a process image?,The collection of memory regions and execution information associated with a process,A physical image displayed on the screen,A process ID only,A CPU instruction only,The collection of memory regions and execution information associated with a process,"A process image includes elements such as code, data, stack, heap, and other information required for execution."
Operating System,Process Management,Medium,Why does a parent process call wait() after creating a child process?,To collect the child's termination status and avoid leaving a zombie process,To create another child process,To increase CPU frequency,To replace the parent process image,To collect the child's termination status and avoid leaving a zombie process,"wait() allows the parent to obtain information about the terminated child and removes its entry from the process table."
Operating System,Process Management,Medium,What happens when a parent terminates before its child process?,The child becomes an orphan and is adopted by another suitable system process,The child always terminates immediately,The child becomes a zombie permanently,The child is moved to the ready queue,The child becomes an orphan and is adopted by another suitable system process,"An orphan process is re-parented so that its termination can still be properly handled."
Operating System,Process Management,Medium,What is the main purpose of IPC through shared memory?,To allow multiple processes to access a common memory region for efficient data exchange,To prevent processes from communicating,To increase CPU clock speed,To automatically terminate processes,To allow multiple processes to access a common memory region for efficient data exchange,"Shared memory provides a fast IPC mechanism because processes can directly access a shared memory region, although synchronization is required."
Operating System,Process Management,Medium,What is the main disadvantage of shared memory IPC?,Processes must use synchronization mechanisms to avoid race conditions when accessing shared data,It always prevents processes from sharing information,It requires no memory,It automatically serializes all operations,Processes must use synchronization mechanisms to avoid race conditions when accessing shared data,"Because multiple processes can access the same memory concurrently, synchronization is needed to maintain consistency."
Operating System,Process Management,Medium,What is message passing in IPC?,A communication method where processes exchange messages through an operating system mechanism,A method where processes directly modify each other's private memory,A CPU scheduling algorithm,A disk management method,A communication method where processes exchange messages through an operating system mechanism,"Message passing allows processes to communicate by sending and receiving messages without necessarily sharing a common memory space."
Operating System,Process Management,Medium,What is the difference between direct and indirect communication in message passing?,Direct communication names the communicating process explicitly, while indirect communication uses a mailbox or port,Direct communication always uses shared memory,Indirect communication cannot transfer messages,There is no difference,Direct communication names the communicating process explicitly, while indirect communication uses a mailbox or port,"In direct communication, processes explicitly identify one another. In indirect communication, messages are exchanged through an intermediate mailbox or port."
Operating System,Process Management,Medium,What is blocking message passing?,The sender or receiver may be suspended until the required communication operation completes,Messages are always discarded immediately,The sender and receiver can never wait,It is a type of CPU scheduling,The sender or receiver may be suspended until the required communication operation completes,"Blocking communication synchronizes processes by causing the sender or receiver to wait until the communication condition is satisfied."
Operating System,Process Management,Medium,What is non-blocking message passing?,The communication operation returns without requiring the sender or receiver to wait for completion,The sender must always stop until the receiver responds,The process is terminated after sending a message,The operating system disables communication,The communication operation returns without requiring the sender or receiver to wait for completion,"Non-blocking communication allows a process to continue execution without waiting for the communication operation to complete."
Operating System,Process Management,Medium,What is a race condition in process synchronization?,A condition where concurrent processes access shared data and the result depends on their timing,A condition where a process executes at high speed,A condition where no process can execute,A CPU scheduling algorithm,A condition where concurrent processes access shared data and the result depends on their timing,"The order in which concurrent operations occur can affect the final result when synchronization is inadequate."
Operating System,Process Management,Medium,What is the mutual exclusion requirement of the critical-section problem?,Only one process can execute its critical section for a shared resource at a time,Every process must execute simultaneously,Processes must never access shared resources,Only the operating system can access shared data,Only one process can execute its critical section for a shared resource at a time,"Mutual exclusion ensures that concurrent processes cannot simultaneously execute the portion of code that accesses a shared resource."
Operating System,Process Management,Medium,What is the progress requirement in the critical-section problem?,If no process is in its critical section, a decision about which waiting process enters next cannot be postponed indefinitely,Every process must always enter its critical section,Processes can wait forever before entering,Only one process can ever execute,If no process is in its critical section, a decision about which waiting process enters next cannot be postponed indefinitely,"The progress requirement ensures that processes that want to enter the critical section are not unnecessarily delayed when the section is free."
Operating System,Process Management,Medium,What is bounded waiting in process synchronization?,There is a limit on the number of times other processes can enter their critical sections after a process requests entry,Processes can wait forever,Only one process can ever enter a critical section,All processes must enter simultaneously,There is a limit on the number of times other processes can enter their critical sections after a process requests entry,"Bounded waiting prevents starvation by ensuring that a process requesting entry will eventually get access within a bounded number of turns."
Operating System,Process Management,Medium,What is a semaphore?,A synchronization variable used to control access to shared resources,A type of process,A CPU register,A file system,A synchronization variable used to control access to shared resources,"Semaphores provide synchronization through atomic operations commonly known as wait and signal."
Operating System,Process Management,Medium,What is a binary semaphore?,A semaphore whose value is restricted to 0 or 1,A semaphore with an unlimited value,A semaphore used only for file storage,A semaphore that cannot synchronize processes,A semaphore whose value is restricted to 0 or 1,"A binary semaphore has only two possible states and can be used to provide mutual exclusion."
Operating System,Process Management,Medium,What is a counting semaphore?,A semaphore that can represent multiple available instances of a resource,A semaphore that can only have values 0 and 1,A semaphore used only by the CPU,A semaphore that terminates processes,A semaphore that can represent multiple available instances of a resource,"Counting semaphores maintain a count representing the number of available units of a resource."
Operating System,Process Management,Medium,What is deadlock?,A state where processes wait indefinitely for resources held by one another,A process completing normally,A CPU scheduling algorithm,A process entering the ready state,A state where processes wait indefinitely for resources held by one another,"Deadlock occurs when a set of processes are permanently blocked because each is waiting for resources held by another process in the set."
Operating System,Process Management,Medium,Which of the following is one of the four necessary conditions for deadlock?,Mutual exclusion,Circular execution,CPU overclocking,Memory compression,Mutual exclusion,"Mutual exclusion is one of the four Coffman conditions required for deadlock."
Operating System,Process Management,Hard,What happens to the address space of a child process immediately after fork() in a modern copy-on-write operating system?,The parent and child initially share physical memory pages marked copy-on-write, and a private copy is created only when one process modifies a shared page,The entire address space is always physically copied before the child begins execution,The child receives no memory from the parent,The parent immediately loses access to all of its memory,The parent and child initially share physical memory pages marked copy-on-write, and a private copy is created only when one process modifies a shared page,"Copy-on-write allows fork() to avoid immediately duplicating all physical memory, improving efficiency while preserving the appearance of separate address spaces."
Operating System,Process Management,Hard,Why can excessive context switching reduce overall system performance even when many processes are ready to run?,Frequent context switches consume CPU time for saving and restoring process state and can also reduce cache locality,Frequent context switches always increase useful application execution time,Context switching requires no CPU resources,Context switching permanently deletes cache contents,Frequent context switches consume CPU time for saving and restoring process state and can also reduce cache locality,"Context switching itself is overhead, and frequent switching can also cause useful cached data to be displaced, reducing CPU efficiency."
Operating System,Process Management,Hard,How does the convoy effect occur in process scheduling?,A long-running process can cause many shorter processes to wait behind it, reducing throughput and increasing waiting time,A group of processes always execute simultaneously,A process permanently blocks all other processes,Processes are migrated between computers,A long-running process can cause many shorter processes to wait behind it, reducing throughput and increasing waiting time,"The convoy effect commonly occurs with FCFS scheduling when a long CPU-bound process delays a group of shorter processes."
Operating System,Process Management,Hard,Why can preemptive scheduling create additional synchronization challenges compared with non-preemptive scheduling?,A process can be interrupted while accessing shared data, so synchronization must protect critical operations from concurrent interference,A preemptive system never interrupts processes,Non-preemptive scheduling always causes race conditions,Preemption removes the need for synchronization,A process can be interrupted while accessing shared data, so synchronization must protect critical operations from concurrent interference,"Preemption increases the possible interleavings of process execution, making correct synchronization important when processes or threads access shared resources."
Operating System,Process Management,Hard,What is a process's context and why must it be saved during a context switch?,The context includes execution state such as registers and program counter and must be saved so execution can later resume correctly,The context only contains the process name,The context contains only files stored on disk,The context is not needed after a process is interrupted,The context includes execution state such as registers and program counter and must be saved so execution can later resume correctly,"Saving the execution context allows the operating system to restore the process exactly where it left off."
Operating System,Process Management,Hard,Why can a process waiting for I/O improve overall CPU utilization compared with keeping it in the running state?,The process can be blocked while waiting for I/O, allowing the CPU to execute another ready process,The CPU must always remain idle during I/O,Blocked processes continue executing on the CPU,Waiting for I/O increases CPU idle time by definition,The process can be blocked while waiting for I/O, allowing the CPU to execute another ready process,"Blocking during I/O lets the scheduler assign the CPU to another ready process, improving utilization."
Operating System,Process Management,Hard,What is the key difference between process-level parallelism and concurrency?,Parallelism means tasks execute simultaneously on multiple processing resources, while concurrency means multiple tasks make progress over overlapping time periods,They are always exactly identical,Concurrency requires multiple physical CPUs,Parallelism can only happen on a single CPU,Parallelism means tasks execute simultaneously on multiple processing resources, while concurrency means multiple tasks make progress over overlapping time periods,"Concurrency does not necessarily require simultaneous execution, whereas parallelism specifically involves simultaneous execution."
Operating System,Process Management,Hard,Why does the operating system need both a process scheduler and a dispatcher?,The scheduler selects the next process while the dispatcher performs the actual transfer of CPU control to that process,The dispatcher selects processes and the scheduler manages files,Both components only manage memory,The scheduler and dispatcher perform identical functions,The scheduler selects the next process while the dispatcher performs the actual transfer of CPU control to that process,"The scheduler makes the selection decision, while the dispatcher implements that decision through context switching and transferring CPU control."
Operating System,Process Management,Hard,What is a process's scheduling priority used for?,It influences the order or urgency with which the scheduler selects processes for CPU execution,It determines the size of the process's executable file,It determines the amount of disk space available,It uniquely identifies the process,It influences the order or urgency with which the scheduler selects processes for CPU execution,"Priority is scheduling information used to influence which ready process should receive CPU time."
Operating System,Process Management,Hard,Why can strict priority scheduling lead to starvation?,A continuously available stream of higher-priority processes can prevent lower-priority processes from receiving CPU time,Lower-priority processes always execute first,Priority scheduling guarantees equal CPU time,Starvation occurs only when no processes are ready,A continuously available stream of higher-priority processes can prevent lower-priority processes from receiving CPU time,"If higher-priority processes continuously arrive or remain ready, lower-priority processes may wait indefinitely."
Operating System,Process Management,Hard,What technique can reduce starvation in priority scheduling?,Aging,Increasing context-switch overhead,Disabling interrupts permanently,Removing the ready queue,Aging,"Aging gradually increases the priority of processes that have waited for a long time, reducing starvation."
Operating System,Process Management,Hard,What is the purpose of process accounting?,To record information about process resource usage and execution,To create new processes,To replace the process image,To prevent all process execution,To record information about process resource usage and execution,"Process accounting can record information such as CPU time, memory usage, and other resource consumption."
Operating System,Process Management,Hard,Why is process isolation important in a multiprogramming operating system?,It prevents one process from directly corrupting another process's protected memory and resources,It allows every process to access all memory freely,It eliminates the need for virtual memory,It forces all processes to share one address space,It prevents one process from directly corrupting another process's protected memory and resources,"Isolation provides protection between processes so that faults or malicious behavior in one process do not directly compromise others."
Operating System,Process Management,Hard,How does virtual memory affect process management?,It allows each process to have its own virtual address space while the operating system manages mapping to physical memory,It forces every process to use the same physical addresses,It removes the need for process isolation,It prevents processes from using secondary storage,It allows each process to have its own virtual address space while the operating system manages mapping to physical memory,"Virtual memory gives processes a logical address space independent of physical memory layout and allows the OS to manage memory mappings."
Operating System,Process Management,Hard,Why can process creation be expensive compared with thread creation?,A new process requires its own protected address-space context and operating-system management structures, while threads can share many resources within a process,Processes always use less memory than threads,Threads require a completely separate address space,Processes cannot be scheduled by the operating system,A new process requires its own protected address-space context and operating-system management structures, while threads can share many resources within a process,"Processes generally require more setup and resource management because they have separate address spaces and process-level resources."
Operating System,Process Management,Hard,What is the purpose of the process state transition from waiting to ready?,It occurs when the event or I/O operation the process was waiting for has completed,It means the process has terminated,It means the process has been deleted,It means the process has been replaced by another program,It occurs when the event or I/O operation the process was waiting for has completed,"Once the event causing the process to block has occurred, the process can return to the ready queue and wait for CPU allocation."
Operating System,Process Management,Hard,Why is synchronization required when multiple processes access shared memory?,Without synchronization, concurrent accesses can cause inconsistent results or race conditions,Shared memory automatically serializes every access,Processes cannot access shared memory simultaneously,Synchronization is only required for files,Without synchronization, concurrent accesses can cause inconsistent results or race conditions,"Shared memory allows concurrent access, so synchronization is needed when operations must occur in a controlled order."
Operating System,Process Management,Hard,What is the difference between blocking and non-blocking IPC from a scheduling perspective?,Blocking IPC can cause a process to enter the waiting state, while non-blocking IPC allows the process to continue executing if the operation cannot immediately complete,Blocking IPC always terminates the process,Non-blocking IPC always forces the process to wait,There is no scheduling difference,Blocking IPC can cause a process to enter the waiting state, while non-blocking IPC allows the process to continue executing if the operation cannot immediately complete,"The scheduling state can change when a process performs a blocking communication operation because it may have to wait for another process or resource."
Operating System,Process Management,Hard,What is deadlock prevention?,A strategy that ensures at least one of the necessary deadlock conditions can never hold,A method that detects deadlock after it occurs,A method that ignores resource allocation,A method that guarantees all processes terminate immediately,A strategy that ensures at least one of the necessary deadlock conditions can never hold,"Deadlock prevention structurally prevents deadlock by ensuring that at least one Coffman condition is impossible."
Operating System,Process Management,Hard,What is deadlock avoidance?,A strategy that dynamically evaluates resource allocation to ensure the system remains in a safe state,A strategy that allows deadlock and detects it later,A strategy that terminates every process,A strategy that removes all resources,A strategy that dynamically evaluates resource allocation to ensure the system remains in a safe state,"Deadlock avoidance uses information about resource requirements to make allocation decisions that keep the system in a safe state."
Operating System,Process Management,Hard,What is the Banker's algorithm used for?,Deadlock avoidance by determining whether resource allocation will leave the system in a safe state,CPU scheduling,File allocation,Process creation,Deadlock avoidance by determining whether resource allocation will leave the system in a safe state,"The Banker's algorithm tests whether granting a resource request would keep the system in a safe state."
Operating System,Process Management,Hard,What is deadlock detection?,A strategy that allows deadlocks to occur and periodically checks whether a deadlock exists,A strategy that guarantees deadlock can never occur,A process scheduling algorithm,A memory allocation method,A strategy that allows deadlocks to occur and periodically checks whether a deadlock exists,"Deadlock detection does not prevent deadlocks; instead, it identifies them so recovery can be performed."
Operating System,Process Management,Hard,Why is deadlock recovery necessary after a deadlock has been detected?,The operating system must take action to restore progress, such as terminating processes or preempting resources,The operating system always ignores the deadlock,Deadlocked processes automatically continue without intervention,Recovery only increases CPU speed,The operating system must take action to restore progress, such as terminating processes or preempting resources,"After detecting a deadlock, the OS needs a recovery strategy to break the circular wait and allow processes to make progress."
Operating System,Process Management,Hard,What is a safe state in deadlock avoidance?,A state in which there exists some order of process completion that allows all processes to finish without deadlock,A state where all processes are currently running,A state where no resources are allocated,A state where every process is blocked,A state in which there exists some order of process completion that allows all processes to finish without deadlock,"A safe state has at least one safe sequence in which processes can obtain their remaining resources and complete."
Operating System,Process Management,Hard,What is an unsafe state?,A state that may lead to deadlock because no guaranteed safe sequence exists,A state that always means deadlock has already occurred,A state where all processes have terminated,A state where no process needs resources,A state that may lead to deadlock because no guaranteed safe sequence exists,"An unsafe state does not necessarily mean deadlock has occurred, but the system can no longer guarantee that all processes can complete."
Operating System,Process Management,Hard,Why can terminating a process be used as a deadlock recovery technique?,Removing a process can release the resources it holds and break a circular wait,Terminating a process always creates another deadlock,Termination does not release resources,Only CPU scheduling can resolve deadlock,Removing a process can release the resources it holds and break a circular wait,"Terminating selected processes releases their allocated resources and may break the conditions maintaining the deadlock."
Operating System,Process Management,Hard,Why can resource preemption be difficult as a deadlock recovery method?,A resource may not be safely removed from a process without causing inconsistent state or requiring rollback,Resources can always be removed without consequences,Preemption never affects process execution,Resource preemption is only used for CPU scheduling,A resource may not be safely removed from a process without causing inconsistent state or requiring rollback,"Some resources cannot simply be taken away without affecting the process's correctness, so recovery may require careful rollback or process termination."
Operating System,Process Management,Hard,What is a safe sequence in the Banker's algorithm?,An ordering of processes in which each process can obtain its remaining resources and finish successfully,The order in which processes were originally created,A CPU scheduling queue,A list of terminated processes,An ordering of processes in which each process can obtain its remaining resources and finish successfully,"A safe sequence demonstrates that the system can satisfy each process's remaining resource needs in some order without entering deadlock."
Operating System,Process Management,Hard,Why can resource allocation graphs help analyze deadlock?,They represent processes and resource relationships and can reveal cycles associated with possible deadlock,They directly execute processes,They replace the CPU scheduler,They allocate all resources automatically,They represent processes and resource relationships and can reveal cycles associated with possible deadlock,"Resource allocation graphs provide a visual representation of which processes hold or request resources, helping identify potential circular waits."
Operating System,Process Management,Hard,What is the difference between a resource request edge and an assignment edge in a resource allocation graph?,A request edge goes from a process to a resource while an assignment edge goes from a resource to a process,A request edge always goes from resource to process,Both edges always have the same direction,An assignment edge represents a process requesting a resource,A request edge goes from a process to a resource while an assignment edge goes from a resource to a process,"The direction of the edge represents whether a process is requesting a resource or a resource has already been allocated to a process."
Operating System,Process Management,Hard,Why does a cycle in a resource allocation graph have different implications depending on whether each resource type has a single instance or multiple instances?,With a single instance per resource type a cycle implies deadlock, while with multiple instances a cycle indicates the possibility of deadlock but is not by itself sufficient to prove it,Multiple instances always guarantee deadlock,A cycle never has any significance,Single-instance resources can never form cycles,With a single instance per resource type a cycle implies deadlock, while with multiple instances a cycle indicates the possibility of deadlock but is not by itself sufficient to prove it,"When every resource type has one instance, a cycle directly corresponds to deadlock. With multiple instances, a cycle may exist without all processes being permanently blocked."
